Vendor_ID,Vendor_Name,CAGE_Code,Contract_ID,Award_Date,Fiscal_Year,Region,Place_of_Performance_State,Contract_Type,PSC,NAICS,Small_Business_SetAside,Contract_Value,On_Time_Delivery_Percent,Cost_Overrun_Percent,Vendor_Satisfaction_Score,Performance_Risk_Flag,Vendor_Name_Standardized
QTWFKK19Y,MaplePark LLC,JL4CT,GS-21-0NRQ6U,10/1/2021,2021,Midwest,UT,Labor-Hour,D301 IT Facility Mgmt,517111,No,1038186.57,79.5,6.9,3.73,Medium,Maplepark LLC
J6EW0F8I1,Vanguard Ltd,2CSIP,GS-21-3L10HJ,4/17/2022,2021,Mid-Atlantic,TX,Fixed-Price with EPA,D399 IT Services,236220,No,535453.6,90.3,3.4,3.13,Low,Vanguard LTD
2HPD7E20N,Xenon Ltd,PVJE4,GS-21-4I9W3B,7/22/2022,2021,Mid-Atlantic,PA,Labor-Hour,7030 Info Tech HW,517111,No,175209.92,86.1,1.4,3.35,Low,Xenon LTD
MN1A4TQLM,Quartz  Inc,JYAWL,GS-21-5FNPJO,4/11/2022,2021,West,UT,Firm-Fixed Price,R499 Prof Services,541512,No,1422363.54,89.3,1.2,3.41,Low,Quartz INC
IJ3GVGQ8S,EdgeWorks LLC,T8FRF,GS-21-7PVKXV,5/11/2022,2021,Northeast,VA,Cost-Plus,J070 Maintenance,517111,No,2546458.78,69.4,24.3,3.39,High,Edgeworks LLC
XB74BSOZI,MaplePark Corporation,AUX8P,GS-21-A5TLBP,10/13/2021,2021,Midwest,PA,Time & Materials,D301 IT Facility Mgmt,541519,No,313990.99,73.2,14.4,3,Medium,Maplepark CORP
ZI49AHV5O,Nexus Systems,GADYZ,GS-21-C2TF6I,4/26/2022,2021,West,MO,Labor-Hour,D399 IT Services,541330,No,132962.87,77.2,3.9,2.98,Medium,Nexus Systems
RXR7RW4CI,INSIGHT  LTD,QY1IB,GS-21-D2IQIH,10/8/2021,2021,Southeast,GA,Fixed-Price with EPA,J070 Maintenance,541511,No,263330.14,87.1,3.8,3.32,Low,Insight LTD
U6A69TVTF,Riverton Corporation,73SLA,GS-21-GT7HTS,4/15/2022,2021,West,VA,Time & Materials,D399 IT Services,541511,No,342793.39,68.1,11.7,2.77,High,Riverton CORP
YY8BJJ2HO,DataBridge Corp,FLJKW,GS-21-H65N88,11/27/2021,2021,West,PA,Fixed-Price with EPA,R499 Prof Services,236220,No,1010808.19,85.6,0,3.2,Low,Databridge CORP
5A9RA69DX,BlueSky Corporation,9HROT,GS-21-HB8XPE,6/5/2022,2021,Mid-Atlantic,CA,Time & Materials,7030 Info Tech HW,541512,Yes,400311.61,61.1,12.3,2.89,High,Bluesky CORP
AZ3N2G6AS,Trident Incorporated,L1Q6L,GS-21-HTZU58,3/10/2022,2021,Mid-Atlantic,GA,Labor-Hour,Y1DA Construction,541330,Yes,797871.2,82.5,4.9,3.58,Low,Trident INC
RYLATX7EM,DataBridge Corp,F2HSA,GS-21-JC4PY7,6/19/2022,2021,Southwest,NY,Time & Materials,D301 IT Facility Mgmt,541611,No,634718.63,73.6,17.1,2.91,Medium,Databridge CORP
DCCEIGKHY,Pinnacle LLC,55V0N,GS-21-KUAOPV,11/29/2021,2021,Southwest,CA,Labor-Hour,D399 IT Services,541611,No,578685.29,88,14.2,3.3,Low,Pinnacle LLC
XRGA9UCOB,Kingsley Inc,19DBB,GS-21-L3M4LG,2/18/2022,2021,Southeast,UT,Fixed-Price with EPA,D399 IT Services,236220,Yes,713255.58,84.9,16.6,3.54,Medium,Kingsley INC
HNLZRG5GH,Evergreen Ltd,TL9XU,GS-21-LX06ZE,3/15/2022,2021,Southwest,VA,Cost-Plus,Y1DA Construction,541611,Yes,1190645.65,84.4,19.9,3.61,Medium,Evergreen LTD
RS5TIAB4X,ClearPath Systems,B54CJ,GS-21-MA5EAS,4/1/2022,2021,Southeast,NY,Fixed-Price with EPA,R499 Prof Services,541611,No,1872603.46,87.2,0,2.99,Low,Clearpath Systems
L8Q660HBX,Titan Corporation,TS5W6,GS-21-N3CIIS,11/28/2021,2021,Mid-Atlantic,CA,Firm-Fixed Price,Y1DA Construction,541519,No,280928.18,96.4,0,3.59,Low,Titan CORP
3CI14WFLT,Riverton LLC,PR69P,GS-21-NDRQC5,9/6/2022,2021,Midwest,MO,Firm-Fixed Price,R499 Prof Services,517111,No,666426.14,82.2,10.1,3.3,Low,Riverton LLC
BY8KXB4N9,Questline Corporation,LMEEW,GS-21-OU54UA,10/2/2021,2021,West,TX,Labor-Hour,7030 Info Tech HW,541511,No,604115.7,81.7,0,3.48,Medium,Questline CORP
WPGBTCLGV,DataBridge Incorporated,Z6TM2,GS-21-PLLZVS,8/10/2022,2021,West,UT,Firm-Fixed Price,D301 IT Facility Mgmt,517111,Yes,542809.41,78.1,1.4,3.28,Medium,Databridge INC
L4YLJPZJ7,Oakridge Corporation,VBFV3,GS-21-QE8FTH,6/7/2022,2021,Southwest,IL,Cost-Plus,J070 Maintenance,541330,No,2320835.42,54,22.8,3.06,High,Oakridge CORP
6PSDTQX1E,NorthStar Group,UG0O0,GS-21-WFXDTU,3/27/2022,2021,Northeast,MO,Firm-Fixed Price,J070 Maintenance,517111,No,307846.83,89.6,2.8,3.48,Low,Northstar Group
VUE3FKSGS,DataBridge Corporation,W6C1V,GS-21-X2XOQG,12/9/2021,2021,West,MO,Cost-Plus,D301 IT Facility Mgmt,541512,Yes,1463147.89,70.8,16.9,3.05,Medium,Databridge CORP
XB74BSOZI,MaplePark Corporation,AUX8P,GS-21-XBNMY7,2/26/2022,2021,Midwest,UT,Fixed-Price with EPA,D301 IT Facility Mgmt,541512,Yes,240895.75,84.6,4.9,2.57,Low,Maplepark CORP
RXR7RW4CI,Insight Ltd,QY1IB,GS-21-YP7988,12/8/2021,2021,West,MD,Fixed-Price with EPA,D399 IT Services,541512,Yes,256000.03,87.7,4.6,3.64,Low,Insight LTD
VU7MZN3VV,Harbor Incorporated,6YT7W,GS-21-ZFC4CY,12/1/2021,2021,West,GA,Time & Materials,R499 Prof Services,541519,No,392335.65,91.1,11.9,3.84,Low,Harbor INC
EWI4VJEIF,VECTOR LTD,XZWDJ,GS-21-ZZ9DD4,12/13/2021,2021,Mid-Atlantic,CA,Firm-Fixed Price,R499 Prof Services,236220,No,253416.73,76.3,9.1,3.11,Medium,Vector LTD
DCCEIGKHY,Pinnacle LLC,55V0N,GS-22-29VNR4,6/14/2023,2022,West,MO,Cost-Plus,D301 IT Facility Mgmt,518210,No,2140310.45,63.2,40.4,3.14,High,Pinnacle LLC
OO6EFJU9W,UrbanCore Ltd,HVKET,GS-22-2N10TC,4/27/2023,2022,Northeast,MO,Cost-Plus,7030 Info Tech HW,541611,No,2302792.68,56.3,26.6,2.4,High,Urbancore LTD
